Deal Name,Amount,Stage,Close Date,Probability,Created Date
Acme Corp Enterprise License,150000,Proposal,2025-02-15,75,2025-01-01
TechStart Startup Package,45000,Qualified,2025-03-01,50,2025-01-05
BigCo System Integration,200000,Negotiation,2025-02-20,90,2024-12-15
SmallBiz Basic Plan,25000,Proposal,2025-02-28,60,2025-01-10
MegaCorp Full Suite,500000,Qualified,2025-04-01,40,2025-01-08
DataCo Analytics Platform,75000,Negotiation,2025-02-25,85,2025-01-12
StartupXYZ Growth Plan,35000,Qualified,2025-03-15,55,2025-01-15
Enterprise Inc Premium,180000,Proposal,2025-03-10,70,2025-01-18
FinTech Solutions Bundle,95000,Negotiation,2025-02-28,80,2025-01-20
CloudFirst Infrastructure,120000,Proposal,2025-03-20,65,2025-01-22
RetailCo POS System,85000,Qualified,2025-03-25,50,2025-01-25
HealthTech Integration,140000,Negotiation,2025-03-05,75,2024-12-28
EduTech Platform License,55000,Qualified,2025-03-30,45,2025-01-28
ManufactureCo ERP,250000,Proposal,2025-04-15,60,2025-01-30
LogisticsPro System,110000,Negotiation,2025-03-12,85,2025-02-01
SaaS Startup Pro,65000,Qualified,2025-02-18,55,2025-02-03
GlobalCorp Integration,300000,Proposal,2025-04-20,50,2025-02-05
MedTech Solutions,175000,Negotiation,2025-03-08,80,2025-02-07
InsureTech Platform,90000,Qualified,2025-03-22,60,2025-02-09
DevOps Unlimited,125000,Proposal,2025-03-15,70,2025-02-11
